번호,카테고리,제목,날짜,URL
6731,행사,[제3회 반도체특성화 취업·직무역량 강화 아카데미 개최-4회차 (5/27) 신청 결과 안내（선착순70명）](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103995>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-23,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103995>id=notice&opt=&sword=&page=1&f_opt_1=
6730,기타,[2025년 여름방학 국립대육성사업 지역 디지털인재양상 SW역량교육](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103994>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-23,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103994>id=notice&opt=&sword=&page=1&f_opt_1=
6729,기타,[Microsoft 365」졸업·제적생 계정 삭제 안내](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103993>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-23,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103993>id=notice&opt=&sword=&page=1&f_opt_1=
6728,기타,[[반도체특성화대학사업단] 제3회 반도체특성화 취업역량 강화교육(접수: ~6/18)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103990>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-22,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103990>id=notice&opt=&sword=&page=1&f_opt_1=
6727,기타,[항공드론 전문가 초청 세미나](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103989>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-22,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103989>id=notice&opt=&sword=&page=1&f_opt_1=
6726,행사,[「KNU-C 로컬창업자 CEO 특강(창업토크 콘서트 2025)」](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103988>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-21,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103988>id=notice&opt=&sword=&page=1&f_opt_1=
6725,장학,[2025.2학기 국가장학금/국가근로장학금/주거안정장학금 1차 신청 안내(∼6.23/월 18:00)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103987>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-21,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103987>id=notice&opt=&sword=&page=1&f_opt_1=
6724,학적,[2025학년도 1학기 교직 적성 및 인성검사(3차) 시행 안내](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103983>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-20,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103983>id=notice&opt=&sword=&page=1&f_opt_1=
6723,행사,[[대학원] yo 연구실 어때? :  오픈랩  5. 27.(화) ~ 6. 13.(금)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103985>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-20,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103985>id=notice&opt=&sword=&page=1&f_opt_1=
6722,행사,[대학원 전자전기공학부 설명회 / 학·석 연계과정 안내 _ 5. 29.(목) 12시](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103984>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-20,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103984>id=notice&opt=&sword=&page=1&f_opt_1=
6721,취업,[[WISET] 현직자와 함께하는 취업 전략 세미나](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103982>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103982>id=notice&opt=&sword=&page=1&f_opt_1=
6720,기타,[[인공지능혁신융합대학사업단] 2025 여름계절학기 성균관대학교 학점교류 신청(~5/25)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103979>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103979>id=notice&opt=&sword=&page=1&f_opt_1=
6719,기타,[[김선민 교수] 대학원 진학 예정자 모집 (차세대 집적회로 연구실)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103977>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103977>id=notice&opt=&sword=&page=1&f_opt_1=
6718,학적,[2025학년도 1학기 군입대 휴학원 수기접수 안내](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103976>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103976>id=notice&opt=&sword=&page=1&f_opt_1=
6717,기타,[2025학년도 1학기 첨성인아너스클럽 운영 안내](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103975>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103975>id=notice&opt=&sword=&page=1&f_opt_1=
6716,행사,[[반도체특성화대학사업단] 제3회 반도체특성화 취업·직무역량 강화 아카데미 개최-4회차 (5/27 화) (장소: IT1호관 318호)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103974>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103974>id=notice&opt=&sword=&page=1&f_opt_1=
6715,기타,[[인공지능혁신융합대학사업단] 2025 여름계절학기 계명대학교 학점교류 신청(~5/28)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103973>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103973>id=notice&opt=&sword=&page=1&f_opt_1=
6714,행사,[[한국정보처리학회 여성위원회] 2025년 여성위원회 워크숍(WiCSE): 이경운 교수님 발표](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103971>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-19,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103971>id=notice&opt=&sword=&page=1&f_opt_1=
6713,기타,[[인공지능혁신융합대학사업단] 2025 여름계절학기 제주대학교 사물인터넷융합개론 교과목 학점교류 신청(~5/19)](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103970>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-16,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103970>id=notice&opt=&sword=&page=1&f_opt_1=
6712,,[제목 없음](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103968>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-16,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103968>id=notice&opt=&sword=&page=1&f_opt_1=
6711,기타,[[우성윤 교수] 2026년도 대학원생 모집](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103967>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-16,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103967>id=notice&opt=&sword=&page=1&f_opt_1=
6710,수업,[[여름 계절학기 물리전자(강인만 교수) 수업 증원 관련 공지]](<https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103966>id=notice&opt=&sword=&page=1&f_opt_1=>),2025-05-15,https://see.knu.ac.kr/content/board/notice.html?pg=vv&fidx=103966>id=notice&opt=&sword=&page=1&f_opt_1=
