번호,제목,게시 날짜,URL
1,2025학년도 2학기 국제교류과 현장실습교육생 모집(~6/22),2025/05/21,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTI2JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
2,제4차 한-메콩 유스그룹 워크숍 참가 안내(~6/3),2025/05/20,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTI1JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
3,(한국국제교류재단) ‘2025 KF 공공외교캠프’ 대학원생 참가자 모집 안내(~6/1),2025/05/20,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTI0JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
4,"2025년 한민족청년과학도포럼(YGF), 차세대과학기술리더포럼(YPF) 국내 참가..",2025/05/20,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTIzJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
5,2025년 하반기 중남미 지역기구 파견 인턴 선발 공고,2025/05/20,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTIyJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
6,2025 KNU Summer School 서포터즈 모집 안내(~6/1),2025/05/19,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTIxJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
7,2025년 하반기 홍콩한인상공회 인턴십 프로그램 안내,2025/05/16,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTIwJnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
8,[2025학년도 1학기 해외석학 초청 강연 시리즈],2025/05/16,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTE5JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
9,2025 한미친선서클(KAFC) 프로그램 설명회 안내(6/10),2025/05/15,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTE4JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
10,2025-2026학년도 우즈베키스탄 실크로드 국제관광문화유산대학 한국인 유학생 초청 안내(~8/1),2025/05/09,https://home.knu.ac.kr/HOME/global/sub.htm?mode=view&mv_data=aWR4PTE4NTA2JnN0YXJ0UGFnZT0wJmxpc3RObz0zMDE4JnRhYmxlPWV4X2Jic19kYXRhX2dsb2JhbCZuYXZfY29kZT1nbG8xNzI5NTcyODgzJmNvZGU9bm90aWNlJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9Jm9yZGVyX2xpc3Q9Jmxpc3Rfc2NhbGU9JnZpZXdfbGV2ZWw9JnZpZXdfY2F0ZT0mdmlld19jYXRlMj0=
