번호,제목,게시 날짜,URL
3,항공드론 전문가 초청 세미나 개최 안내,2025-05-22,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTE1MyZzdGFydFBhZ2U9MCZsaXN0Tm89NzYmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
4,[모집마감] 2025 미래형 이동수단 중장기 교육 프로그램 및 자작 경진대회 참가팀 모집 안내,2025-04-29,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTE0OSZzdGFydFBhZ2U9MCZsaXN0Tm89NzUmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
5,2025학년도 미래형 모빌리티 관련 기업 전문가 초청 세미나 개최 안내,2025-03-12,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTE0NCZzdGFydFBhZ2U9MCZsaXN0Tm89NzQmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
6,[모집완료] 2025학년도 1학기 창의적 종합설계 프로그램(캡스톤디자인) 참가팀 모집 안내,2025-03-06,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTE0MiZzdGFydFBhZ2U9MCZsaXN0Tm89NzMmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
7,[모집완료] 2024학년도 CarSim & MATLAB 교육과정 참가 모집 안내,2025-01-20,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTE0MCZzdGFydFBhZ2U9MCZsaXN0Tm89NzImdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
8,[모집완료] 2024학년도 인공지능 영상처리 기초와 실습 프로그램 추가 모집 안내,2024-12-24,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTEzOSZzdGFydFBhZ2U9MCZsaXN0Tm89NzEmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
9,[모집완료] 2024학년도 Autodesk INVENTOR를 이용한 CAD 설계 기초 교육과정 추가 모집 안내,2024-12-19,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTEzOCZzdGFydFBhZ2U9MCZsaXN0Tm89NzAmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
10,[모집완료] 2024학년도 인공지능 툴 교육 프로그램 참가 모집 안내,2024-12-09,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTEzNiZzdGFydFBhZ2U9MCZsaXN0Tm89NjkmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
11,[모집완료] 2024 자기PR 역량 강화를 위한 인문 · 융합 캠프 참가 모집 안내,2024-12-06,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTEzNSZzdGFydFBhZ2U9MCZsaXN0Tm89NjgmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
12,[모집완료] 2024 Global CDP Winter Program 참가 모집 안내,2024-11-27,https://ceedin.knu.ac.kr/HOME/abeek/sub.htm?mode=view&mv_data=aWR4PTEzNCZzdGFydFBhZ2U9MCZsaXN0Tm89NjcmdGFibGU9ZXhfYmJzX2RhdGFfYWJlZWsmbmF2X2NvZGU9YWJlMTY1Mzg4NDk4MCZjb2RlPXhrbk5IQ1BtRVEwTiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZvcmRlcl9saXN0PSZsaXN0X3NjYWxlPSZ2aWV3X2xldmVsPSZ2aWV3X2NhdGU9JnZpZXdfY2F0ZTI9
